cohort,state_id,state_kind,gene_symbol,gene_id,gene_type,recipient_class,transcript_id,transcript_type,tss_source,tss_rank,chrom,strand,gene_start,gene_end,tss_hg38,interval_start0,interval_end0,donor_id,donor_group,donor_length,donor_allele,motif_status,placement,replacement_start_hg38,replacement_end_hg38,placement_offset_start_bp,placement_offset_end_bp,sequence_sha256,rna_liver_all_mean,rna_liver_gene_strand_mean,rna_liver_primary,n_liver_tracks,upstream_distance_bp,upstream_distance_label,native_rna_liver_primary,native_rna_liver_all_mean,native_rna_liver_gene_strand_mean,delta_liver_primary_vs_native,delta_liver_all_vs_native,delta_liver_gene_strand_vs_native,scrambled_rna_liver_primary_same_distance,delta_liver_primary_vs_scrambled_same_distance,fold_change_vs_native,log2_fold_change_vs_native
bottom500,AADACL4__ENSG00000204518__ENST00000376221__tss12644084__upstream_000030bp__rs127_major_315_asym_m179_p135,transfer,AADACL4,ENSG00000204518.3,protein_coding,hpa_liver_bottom500,ENST00000376221.2,protein_coding,protein_coding_transcript_tss,1,chr1,+,12644084,12667076,12644084,12119795,13168371,rs127_major_315_asym_m179_p135,rs127_major,315,major,major_native,upstream_000030bp,12643739.0,12644053.0,-345.0,-31.0,3508d515c428f793cf3e9deaf478076ebf181e7bb209ea43c6a820b04218b7dc,5.919824528140662e-05,9.242059119181676e-05,9.242059119181676e-05,5,30.0,30,2.5253740043015387e-05,1.677726698687039e-05,2.5253740043015387e-05,6.716685114880137e-05,4.242097829453623e-05,6.716685114880137e-05,1.791403297960912e-05,7.450655821220764e-05,3.6596793597460904,1.871717253326746
bottom500,AADACL4__ENSG00000204518__ENST00000376221__tss12644084__upstream_000030bp__rs127_minor_315_asym_m179_p135,transfer,AADACL4,ENSG00000204518.3,protein_coding,hpa_liver_bottom500,ENST00000376221.2,protein_coding,protein_coding_transcript_tss,1,chr1,+,12644084,12667076,12644084,12119795,13168371,rs127_minor_315_asym_m179_p135,rs127_minor,315,minor,minor_native,upstream_000030bp,12643739.0,12644053.0,-345.0,-31.0,2d450c659af0c524fef0eb663f2f36d3633ae5071011dd07b498f88cf6532da3,0.0048262292759767,0.0079537619435716,0.0079537619435716,5,30.0,30,2.5253740043015387e-05,1.677726698687039e-05,2.5253740043015387e-05,0.0079285082035285,0.0048094520089898,0.0079285082035285,1.791403297960912e-05,0.0079358479105919,314.95382189029186,8.298996507868006
bottom500,AANAT__ENSG00000129673__ENST00000250615__tss76453350__upstream_000030bp__rs127_minor_scramble_315_asym_m179_p135,transfer,AANAT,ENSG00000129673.10,protein_coding,hpa_liver_bottom500,ENST00000250615.7,protein_coding,protein_coding_transcript_tss,1,chr17,+,76453350,76470117,76453350,75929061,76977637,rs127_minor_scramble_315_asym_m179_p135,scrambled_control,315,minor,scrambled,upstream_000030bp,76453005.0,76453319.0,-345.0,-31.0,11e60395e9a0f52a5d378fcff7d6521d19cd2139c51e7f80764211a9d936102b,0.0206270079387107,0.0048076845522394,0.0048076845522394,5,30.0,30,0.0020044975470474,0.0147445681367612,0.0020044975470474,0.0028031870051919,0.0058824398019495,0.0028031870051919,0.0048076845522394,0.0,2.3984487081668218,1.2621015872297898
bottom500,AANAT__ENSG00000129673__ENST00000250615__tss76453350__upstream_000030bp__rs127_major_315_asym_m179_p135,transfer,AANAT,ENSG00000129673.10,protein_coding,hpa_liver_bottom500,ENST00000250615.7,protein_coding,protein_coding_transcript_tss,1,chr17,+,76453350,76470117,76453350,75929061,76977637,rs127_major_315_asym_m179_p135,rs127_major,315,major,major_native,upstream_000030bp,76453005.0,76453319.0,-345.0,-31.0,e0c79128442e10fb2517a676cb3ce5cbafc0ddd1f4c71911423b116f9fb16ac8,0.0319590877506629,0.0088564912206406,0.0088564912206406,5,30.0,30,0.0020044975470474,0.0147445681367612,0.0020044975470474,0.0068519936735932,0.0172145196139016,0.0068519936735932,0.0048076845522394,0.0040488066684012,4.418309832150257,2.1434945906338183
bottom500,AANAT__ENSG00000129673__ENST00000250615__tss76453350__upstream_000030bp__rs127_minor_315_asym_m179_p135,transfer,AANAT,ENSG00000129673.10,protein_coding,hpa_liver_bottom500,ENST00000250615.7,protein_coding,protein_coding_transcript_tss,1,chr17,+,76453350,76470117,76453350,75929061,76977637,rs127_minor_315_asym_m179_p135,rs127_minor,315,minor,minor_native,upstream_000030bp,76453005.0,76453319.0,-345.0,-31.0,f031344b05cab8f93c5ce57ecd9a85b986a0e45e582e4185538308e4c985c897,0.0694800714943426,0.025629516474879,0.025629516474879,5,30.0,30,0.0020044975470474,0.0147445681367612,0.0020044975470474,0.0236250189278315,0.0547355033575814,0.0236250189278315,0.0048076845522394,0.0208218319226396,12.786005407006337,3.6764937039355923
bottom500,AARD__ENSG00000205002__ENST00000378279__tss116938206__upstream_000030bp__rs127_minor_scramble_315_asym_m179_p135,transfer,AARD,ENSG00000205002.4,protein_coding,hpa_liver_bottom500,ENST00000378279.4,protein_coding,protein_coding_transcript_tss,1,chr8,+,116938206,116944487,116938206,116413917,117462493,rs127_minor_scramble_315_asym_m179_p135,scrambled_control,315,minor,scrambled,upstream_000030bp,116937861.0,116938175.0,-345.0,-31.0,2267df683d67fd2cd9b364b9f20102165926accbfaccd076e5152627f8d299a7,0.0002354509893863,0.0002695597254474,0.0002695597254474,5,30.0,30,0.0007314258454084,0.0005648857271692,0.0007314258454084,-0.000461866119961,-0.0003294347377828,-0.000461866119961,0.0002695597254474,0.0,0.36854006067681166,-1.4401066446349926
bottom500,AARD__ENSG00000205002__ENST00000378279__tss116938206__upstream_000030bp__rs127_major_315_asym_m179_p135,transfer,AARD,ENSG00000205002.4,protein_coding,hpa_liver_bottom500,ENST00000378279.4,protein_coding,protein_coding_transcript_tss,1,chr8,+,116938206,116944487,116938206,116413917,117462493,rs127_major_315_asym_m179_p135,rs127_major,315,major,major_native,upstream_000030bp,116937861.0,116938175.0,-345.0,-31.0,54f7b6eec2e908f0bfd7d7d1bb3ad013c3c106550e53f4a8626a048faa369e67,0.00145452891371,0.001968710878427,0.001968710878427,5,30.0,30,0.0007314258454084,0.0005648857271692,0.0007314258454084,0.0012372850330185,0.0008896431865408,0.0012372850330185,0.0002695597254474,0.0016991511529795,2.691606935666523,1.4284677437638515
bottom500,AARD__ENSG00000205002__ENST00000378279__tss116938206__upstream_000030bp__rs127_minor_315_asym_m179_p135,transfer,AARD,ENSG00000205002.4,protein_coding,hpa_liver_bottom500,ENST00000378279.4,protein_coding,protein_coding_transcript_tss,1,chr8,+,116938206,116944487,116938206,116413917,117462493,rs127_minor_315_asym_m179_p135,rs127_minor,315,minor,minor_native,upstream_000030bp,116937861.0,116938175.0,-345.0,-31.0,9cfd514269c00014d4aa87ad32cf312d5947da7fa3d078bcbe6ed583317e28ba,0.022649344340827,0.0329440871765243,0.0329440871765243,5,30.0,30,0.0007314258454084,0.0005648857271692,0.0007314258454084,0.0322126613311159,0.0220844586136578,0.0322126613311159,0.0002695597254474,0.0326745274510769,45.040912053264385,5.493164136368542
bottom500,ABCA12__ENSG00000144452__ENST00000272895__tss215138626__upstream_000030bp__rs127_minor_scramble_315_asym_m179_p135,transfer,ABCA12,ENSG00000144452.15,protein_coding,hpa_liver_bottom500,ENST00000272895.12,protein_coding,protein_coding_transcript_tss,1,chr2,-,214931541,215138626,215138626,214614337,215662913,rs127_minor_scramble_315_asym_m179_p135,scrambled_control,315,minor,scrambled,upstream_000030bp,215138657.0,215138971.0,-345.0,-31.0,95127b48d9e5fe4906b86584334e658e6bba66b9dd8c120de686ed06cfa72525,6.179889250650045e-05,9.78832553346202e-05,9.78832553346202e-05,5,30.0,30,0.0001623868826805,9.994529973519084e-05,0.0001623868826805,-6.45036273458798e-05,-3.8146407228690395e-05,-6.45036273458798e-05,9.78832553346202e-05,0.0,0.6027780921640562,-0.7303011114297744
bottom500,ABCA12__ENSG00000144452__ENST00000272895__tss215138626__upstream_000030bp__rs127_major_315_asym_m179_p135,transfer,ABCA12,ENSG00000144452.15,protein_coding,hpa_liver_bottom500,ENST00000272895.12,protein_coding,protein_coding_transcript_tss,1,chr2,-,214931541,215138626,215138626,214614337,215662913,rs127_major_315_asym_m179_p135,rs127_major,315,major,major_native,upstream_000030bp,215138657.0,215138971.0,-345.0,-31.0,edafcdc26f77056bf8db840bfe3680f264905266c59c333f6e1ddaa554480e2a,0.0032436431716346,0.0053590456302208,0.0053590456302208,5,30.0,30,0.0001623868826805,9.994529973519084e-05,0.0001623868826805,0.0051966587475402,0.0031436978718994,0.0051966587475402,9.78832553346202e-05,0.0052611623748861,33.00171505086927,5.044469096058154
bottom500,ABCA12__ENSG00000144452__ENST00000272895__tss215138626__upstream_000030bp__rs127_minor_315_asym_m179_p135,transfer,ABCA12,ENSG00000144452.15,protein_coding,hpa_liver_bottom500,ENST00000272895.12,protein_coding,protein_coding_transcript_tss,1,chr2,-,214931541,215138626,215138626,214614337,215662913,rs127_minor_315_asym_m179_p135,rs127_minor,315,minor,minor_native,upstream_000030bp,215138657.0,215138971.0,-345.0,-31.0,35a36c4b882a47531a15225991040589cd31c40dcb0bbfee6bbf588f9109707c,0.0406799518084025,0.0672487508818118,0.0672487508818118,5,30.0,30,0.0001623868826805,9.994529973519084e-05,0.0001623868826805,0.0670863639991313,0.0405800065086673,0.0670863639991313,9.78832553346202e-05,0.0671508676264771,414.12674331660946,8.693928561293047
bottom500,ABCB5__ENSG00000004846__ENST00000404938__tss20615666__upstream_000030bp__rs127_minor_scramble_315_asym_m179_p135,transfer,ABCB5,ENSG00000004846.17,protein_coding,hpa_liver_bottom500,ENST00000404938.7,protein_coding,protein_coding_transcript_tss,1,chr7,+,20615666,20777038,20615666,20091377,21139953,rs127_minor_scramble_315_asym_m179_p135,scrambled_control,315,minor,scrambled,upstream_000030bp,20615321.0,20615635.0,-345.0,-31.0,cadd8c67d1ee0868d2dfa939e1e4a44bdbcc464ca7ffb1f18f4964faf6421291,2.437678757674156e-05,1.518080408430334e-05,1.518080408430334e-05,5,30.0,30,1.0264010308973791e-05,2.146817059892769e-05,1.0264010308973791e-05,4.916793775329549e-06,2.9086169778138704e-06,4.916793775329549e-06,1.518080408430334e-05,0.0,1.4790324276107567,0.5646536837015954
bottom500,ABCB5__ENSG00000004846__ENST00000404938__tss20615666__upstream_000030bp__rs127_major_315_asym_m179_p135,transfer,ABCB5,ENSG00000004846.17,protein_coding,hpa_liver_bottom500,ENST00000404938.7,protein_coding,protein_coding_transcript_tss,1,chr7,+,20615666,20777038,20615666,20091377,21139953,rs127_major_315_asym_m179_p135,rs127_major,315,major,major_native,upstream_000030bp,20615321.0,20615635.0,-345.0,-31.0,04330ff90d4cfc37eba7f36effed6dd817c3f45b06b86d53e1c43ee18d571693,0.0001443897711727,0.0001734205033829,0.0001734205033829,5,30.0,30,1.0264010308973791e-05,2.146817059892769e-05,1.0264010308973791e-05,0.0001631564930739,0.0001229216005737,0.0001631564930739,1.518080408430334e-05,0.0001582396992985,16.895979072748887,4.078608047784665
bottom500,ABCB5__ENSG00000004846__ENST00000404938__tss20615666__upstream_000030bp__rs127_minor_315_asym_m179_p135,transfer,ABCB5,ENSG00000004846.17,protein_coding,hpa_liver_bottom500,ENST00000404938.7,protein_coding,protein_coding_transcript_tss,1,chr7,+,20615666,20777038,20615666,20091377,21139953,rs127_minor_315_asym_m179_p135,rs127_minor,315,minor,minor_native,upstream_000030bp,20615321.0,20615635.0,-345.0,-31.0,2d2eb1003117df5cd4b182b103609c3e996c1fdd4c6324cd77b345dc46b40c05,0.0031703363091937,0.004812125718381,0.004812125718381,5,30.0,30,1.0264010308973791e-05,2.146817059892769e-05,1.0264010308973791e-05,0.004801861708072,0.0031488681385947,0.004801861708072,1.518080408430334e-05,0.0047969449142966,468.834848516644,8.872935999111672
bottom500,ABCC12__ENSG00000140798__ENST00000311303__tss48155993__upstream_000030bp__rs127_minor_scramble_315_asym_m179_p135,transfer,ABCC12,ENSG00000140798.17,protein_coding,hpa_liver_bottom500,ENST00000311303.8,protein_coding,protein_coding_transcript_tss,1,chr16,-,48080881,48156018,48155993,47631704,48680280,rs127_minor_scramble_315_asym_m179_p135,scrambled_control,315,minor,scrambled,upstream_000030bp,48156024.0,48156338.0,-345.0,-31.0,83bd8f84b9c4b441a1a4cffade79d85a12fd547ea17db0944696bd887a184d0d,9.536178080569667e-06,1.5186911645451458e-05,1.5186911645451458e-05,5,30.0,30,1.881707152894097e-05,1.1659313308392837e-05,1.881707152894097e-05,-3.630159883489512e-06,-2.1231352278231695e-06,-3.630159883489512e-06,1.5186911645451458e-05,0.0,0.8070815706946607,-0.3092136026860381
bottom500,ABCC12__ENSG00000140798__ENST00000311303__tss48155993__upstream_000030bp__rs127_major_315_asym_m179_p135,transfer,ABCC12,ENSG00000140798.17,protein_coding,hpa_liver_bottom500,ENST00000311303.8,protein_coding,protein_coding_transcript_tss,1,chr16,-,48080881,48156018,48155993,47631704,48680280,rs127_major_315_asym_m179_p135,rs127_major,315,major,major_native,upstream_000030bp,48156024.0,48156338.0,-345.0,-31.0,95f93604d2f89b15c9874eabf099d8812cb311a5521264daba50a2b058b2d0a1,0.0001547024187891,0.000253753651498,0.000253753651498,5,30.0,30,1.881707152894097e-05,1.1659313308392837e-05,1.881707152894097e-05,0.000234936579969,0.0001430431054807,0.000234936579969,1.5186911645451458e-05,0.0002385667398525,13.485289201761423,3.753314556429221
bottom500,ABCC12__ENSG00000140798__ENST00000311303__tss48155993__upstream_000030bp__rs127_minor_315_asym_m179_p135,transfer,ABCC12,ENSG00000140798.17,protein_coding,hpa_liver_bottom500,ENST00000311303.8,protein_coding,protein_coding_transcript_tss,1,chr16,-,48080881,48156018,48155993,47631704,48680280,rs127_minor_315_asym_m179_p135,rs127_minor,315,minor,minor_native,upstream_000030bp,48156024.0,48156338.0,-345.0,-31.0,69703558e95f832ae2e39e2d4b5006c5eac5d9ece0305e5a9ad91369c4464b97,0.0026677059312042,0.0044026111001909,0.0044026111001909,5,30.0,30,1.881707152894097e-05,1.1659313308392837e-05,1.881707152894097e-05,0.0043837940286619,0.0026560466178958,0.0043837940286619,1.5186911645451458e-05,0.0043874241885454,233.96898361254623,7.870173479608114
bottom500,ABCC8__ENSG00000006071__ENST00000644772__tss17476807__upstream_000030bp__rs127_minor_scramble_315_asym_m179_p135,transfer,ABCC8,ENSG00000006071.16,protein_coding,hpa_liver_bottom500,ENST00000644772.1,protein_coding,protein_coding_transcript_tss,1,chr11,-,17392497,17476894,17476807,16952518,18001094,rs127_minor_scramble_315_asym_m179_p135,scrambled_control,315,minor,scrambled,upstream_000030bp,17476838.0,17477152.0,-345.0,-31.0,5dcfae3323e5667fde5994e3f5c67cb06d75771596f333a39d893e2460e89da7,0.0004462929909233,0.0006667725877802,0.0006667725877802,5,30.0,30,0.0006321522673447,0.000388302174924,0.0006321522673447,3.462032043550004e-05,5.799081599929998e-05,3.462032043550004e-05,0.0006667725877802,0.0,1.0547657933442518,0.07692268965145395
bottom500,ABCC8__ENSG00000006071__ENST00000644772__tss17476807__upstream_000030bp__rs127_major_315_asym_m179_p135,transfer,ABCC8,ENSG00000006071.16,protein_coding,hpa_liver_bottom500,ENST00000644772.1,protein_coding,protein_coding_transcript_tss,1,chr11,-,17392497,17476894,17476807,16952518,18001094,rs127_major_315_asym_m179_p135,rs127_major,315,major,major_native,upstream_000030bp,17476838.0,17477152.0,-345.0,-31.0,e503f3cdd55fb4d67eb6a63be3d5138fca2db253867f2eba76b1be867ca2e4a2,0.0086093845019539,0.0141676062391997,0.0141676062391997,5,30.0,30,0.0006321522673447,0.000388302174924,0.0006321522673447,0.0135354539718549,0.0082210823270298,0.0135354539718549,0.0006667725877802,0.0135008336514194,22.41169884387109,4.486180106552896
bottom500,ABCC8__ENSG00000006071__ENST00000644772__tss17476807__upstream_000030bp__rs127_minor_315_asym_m179_p135,transfer,ABCC8,ENSG00000006071.16,protein_coding,hpa_liver_bottom500,ENST00000644772.1,protein_coding,protein_coding_transcript_tss,1,chr11,-,17392497,17476894,17476807,16952518,18001094,rs127_minor_315_asym_m179_p135,rs127_minor,315,minor,minor_native,upstream_000030bp,17476838.0,17477152.0,-345.0,-31.0,a4684782c2b9cdca94e68805776d1350c0ca483807f9cf094870dde2911366a1,0.1153437566247709,0.1898961459424389,0.1898961459424389,5,30.0,30,0.0006321522673447,0.000388302174924,0.0006321522673447,0.1892639936750942,0.1149554544498469,0.1892639936750942,0.0006667725877802,0.1892293733546587,300.39621109021874,8.230722805969704
bottom500,ABHD12B__ENSG00000131969__ENST00000337334__tss50872052__upstream_000030bp__rs127_minor_scramble_315_asym_m179_p135,transfer,ABHD12B,ENSG00000131969.15,protein_coding,hpa_liver_bottom500,ENST00000337334.7,protein_coding,protein_coding_transcript_tss,1,chr14,+,50872052,50904970,50872052,50347763,51396339,rs127_minor_scramble_315_asym_m179_p135,scrambled_control,315,minor,scrambled,upstream_000030bp,50871707.0,50872021.0,-345.0,-31.0,2f4b9876ae55e1287409b3fd64ecb58d0f188107cb39e8687fadad804ad94da4,0.0007609765504604,0.000992661660923,0.000992661660923,5,30.0,30,0.0008016090914898,0.0005698246775687,0.0008016090914898,0.0001910525694332,0.0001911518728917,0.0001910525694332,0.000992661660923,0.0,1.238336330589922,0.3084032019312621
bottom500,ABHD12B__ENSG00000131969__ENST00000337334__tss50872052__upstream_000030bp__rs127_major_315_asym_m179_p135,transfer,ABHD12B,ENSG00000131969.15,protein_coding,hpa_liver_bottom500,ENST00000337334.7,protein_coding,protein_coding_transcript_tss,1,chr14,+,50872052,50904970,50872052,50347763,51396339,rs127_major_315_asym_m179_p135,rs127_major,315,major,major_native,upstream_000030bp,50871707.0,50872021.0,-345.0,-31.0,03b56d909048e2c9db8b071ca88cfafb5b0f8e9168bd34bfa9b062e3ba358648,0.0097388860047742,0.0158822878364681,0.0158822878364681,5,30.0,30,0.0008016090914898,0.0005698246775687,0.0008016090914898,0.0150806787449783,0.0091690613272055,0.0150806787449783,0.000992661660923,0.0148896261755451,19.81300861614566,4.308376065777143
bottom500,ABHD12B__ENSG00000131969__ENST00000337334__tss50872052__upstream_000030bp__rs127_minor_315_asym_m179_p135,transfer,ABHD12B,ENSG00000131969.15,protein_coding,hpa_liver_bottom500,ENST00000337334.7,protein_coding,protein_coding_transcript_tss,1,chr14,+,50872052,50904970,50872052,50347763,51396339,rs127_minor_315_asym_m179_p135,rs127_minor,315,minor,minor_native,upstream_000030bp,50871707.0,50872021.0,-345.0,-31.0,52257af52b9c13318ce3fd8f9bc690e0ce403a463ab38616986e054d23fbcfd4,0.0895673953899887,0.1474367660214024,0.1474367660214024,5,30.0,30,0.0008016090914898,0.0005698246775687,0.0008016090914898,0.1466351569299126,0.08899757071242,0.1466351569299126,0.000992661660923,0.1464441043604794,183.9260152942994,7.5229817450090435
