promoter_id	gene_name	primary_input_qc_pass	primary_interaction_rna	interaction_log2_T_over_G_rna	contact_edge_cluster	high_signed_distance_bp	primary_contact_oe_difference	geometry_group	minimum_endpoint_or_replacement_edge_margin_bp	sort1_region_overlap	absolute_high_distance_bp	distance_stratum	within_distance_contact_quintile
ENSG00000178821__TMEM52__tss1919279	TMEM52	False	0.0006502924993973	0.0053458324319657	1915000__2675000	758222	25.943227767944336	>500 kb	135756	False	758222		
ENSG00000142609__CFAP74__tss2003837	CFAP74	False	-2.1427028377689152e-08	-3.071678046137529e-05	2000000__2640000	638664	2.8198025226593018	>500 kb	180535	False	638664		
ENSG00000187730__GABRD__tss2019329	GABRD	False	3.018619058800848e-07	0.0004146655264258	2015000__2895000	878172	2.8157620429992676	>500 kb	73281	False	878172		
ENSG00000067606__PRKCZ__tss2050411	PRKCZ	False	1.8594186126990803e-06	0.0001627098871809	2050000__2980000	932090	4.066504001617432	>500 kb	41322	False	932090		
ENSG00000162585__FAAP20__tss2212720	FAAP20	False	-7.154906202254613e-06	-0.0021097431400482	2210000__2655000	444781	3.493279457092285	clean ≤500 kb	282476	False	444781	300–500	
ENSG00000157933__SKI__tss2227388	SKI	False	-7.664936091179853e-05	-0.0014508190722677	2225000__3160000	935113	2.9415194988250732	>500 kb	39810	False	935113		
ENSG00000116151__MORN1__tss2391707	MORN1	False	1.7854875374312407e-05	0.0002706029673231	2390000__3345000	955794	5.670032501220703	>500 kb	36970	False	955794		
ENSG00000157916__RER1__tss2391775	RER1	False	-0.0001136052900107	-0.0008179371886929	2390000__3345000	955726	5.670032501220703	>500 kb	37004	False	955726		
ENSG00000157911__PEX10__tss2413797	PEX10	False	3.3073124166106e-05	0.0020593454350926	2410000__2675000	263704	3.139974594116211	clean ≤500 kb	383015	False	263704	150–300	
ENSG00000149527__PLCH2__tss2425980	PLCH2	False	-2.7368950226062765e-07	-0.0003567137628674	2425000__2655000	231521	6.063857555389404	clean ≤500 kb	389106	False	231521	150–300	
ENSG00000157881__PANK4__tss2526597	PANK4	False	5.431374778347431e-05	0.0030053572652364	2525000__3350000	825904	3.299708843231201	>500 kb	81915	False	825904		
ENSG00000197921__HES5__tss2530263	HES5	False	-3.102750148658521e-06	-0.001321844341563	2530000__3360000	832238	3.0310906767845154	>500 kb	106248	False	832238		
ENSG00000157873__TNFRSF14__tss2555639	TNFRSF14	False	-0.0001477549634833	-0.0021011096330496	2555000__3335000	781862	3.351585865020752	>500 kb	108936	False	781862		
ENSG00000157870__PRXL2B__tss2586491	PRXL2B	False	0.0003649207598803	0.0050312667043216	2585000__3545000	961010	4.497529983520508	>500 kb	24362	False	961010		
ENSG00000142606__MMEL1__tss2633016	MMEL1	False	-1.826881698964401e-07	-0.0002281326401269	2630000__3590000	959485	3.8931708931922913	>500 kb	42624	False	959485		
ENSG00000215912__TTC34__tss2801693	TTC34	False	-5.3333308810612335e-08	-7.640659926288518e-05	2800000__3515000	715808	2.9718568325042725	>500 kb	136963	False	715808		
ENSG00000169717__ACTRT2__tss3021467	ACTRT2	False	1.2456615954590278e-07	0.0001775803784631	3020000__3345000	326034	1.8617713451385496	clean ≤500 kb	351850	False	326034	300–500	
ENSG00000142611__PRDM16__tss3069168	PRDM16	True	-3.097396490438003e-05	-0.0086446388991977	3065000__3505000	438333	2.6952035427093506	mixed	270700	False	438333	300–500	
ENSG00000130762__ARHGEF16__tss3454665	ARHGEF16	False	5.417816029939723e-05	0.0031932869193255	3450000__2870000	-582164	5.017976403236389	>500 kb	218784	False	582164		
ENSG00000162591__MEGF6__tss3611508	MEGF6	False	4.12358010798686e-05	0.0148365006423994	3610000__2675000	-934007	18.928041458129883	>500 kb	47863	False	934007		
ENSG00000158109__TPRG1L__tss3625015	TPRG1L	False	-0.0002365914246126	-0.0024800468786764	3625000__2885000	-737514	3.4404052793979645	>500 kb	126109	False	737514		
ENSG00000078900__TP73__tss3652516	TP73	False	5.198925507621916e-06	0.0041611026493304	3650000__2655000	-995015	14.149584770202637	>500 kb	24859	False	995015		
ENSG00000116213__WRAP73__tss3652761	WRAP73	False	1.5435221889838484e-06	0.0017968074521418	3650000__2655000	-995260	14.149584770202637	>500 kb	24736	False	995260		
ENSG00000162592__CCDC27__tss3746460	CCDC27	True	9.11334716590488e-05	0.0026775037602606	3745000__2935000	-808959	3.018349885940552	>500 kb	117887	False	808959		
ENSG00000235169__SMIM1__tss3772749	SMIM1	True	-2.6605541627828383e-05	-0.0013213516278962	3770000__4605000	834752	4.586808204650879	>500 kb	104991	False	834752		
ENSG00000130764__LRRC47__tss3796498	LRRC47	True	0.0003117219228765	0.0037831582936796	3795000__4690000	896003	3.836446523666382	>500 kb	46865	False	896003		
ENSG00000169598__DFFB__tss3857267	DFFB	True	-3.0423233685600293e-05	-0.0016115264887534	3855000__4625000	770234	3.813877522945404	>500 kb	117250	False	770234		
ENSG00000116198__CEP104__tss3857396	CEP104	True	-7.196026386730586e-06	-0.0004387198634345	3855000__4625000	770105	3.813877522945404	>500 kb	117314	False	770105		
ENSG00000198912__C1orf174__tss3900293	C1orf174	True	0.0001067530219789	0.0049139090891231	3900000__4825000	927208	7.595871925354004	>500 kb	36263	False	927208		
ENSG00000196581__AJAP1__tss4654609	AJAP1	True	-2.630212498867675e-07	-0.0003703178708075	4650000__5445000	792892	6.982604801654816	>500 kb	125921	False	792892		
ENSG00000069424__KCNAB2__tss5990927	KCNAB2	True	1.848683139525241e-05	0.0037242746790714	5990000__5505000	-483426	5.191703602671623	mixed	263153	False	483426	300–500	
ENSG00000131697__NPHP4__tss5992473	NPHP4	True	4.9732430110790114e-05	0.0065075862949805	5990000__5505000	-484972	5.191703602671623	mixed	262380	False	484972	300–500	
ENSG00000116254__CHD5__tss6180321	CHD5	True	2.919303370920809e-07	0.0003820865897816	6180000__6340000	162180	1.0414080619812012	clean ≤500 kb	441277	False	162180	150–300	1
ENSG00000285629__ENSG00000285629__tss6197757	ENSG00000285629	True	0.0019505357857519	0.0019913733909088	6195000__7165000	969744	2.750033140182495	>500 kb	27495	False	969744		
ENSG00000158286__RNF207__tss6205475	RNF207	True	-0.0001234364236742	-0.0047834301175965	6205000__6280000	77026	0.7005229294300079	clean ≤500 kb	456354	False	77026	50–150	1
ENSG00000116251__RPL22__tss6209389	RPL22	True	-6.482294688252635e-05	-0.002535343804736	6205000__7200000	993112	3.25014066696167	>500 kb	25811	False	993112		
ENSG00000116237__ICMT__tss6235972	ICMT	True	0.0002174002753799	0.0021531145695645	6235000__6340000	106529	1.8264843225479128	clean ≤500 kb	469102	False	106529	50–150	2
ENSG00000173673__HES3__tss6244179	HES3	True	-9.64639605824716e-06	-0.0116960764578554	6240000__6305000	63322	0.2684375047683716	clean ≤500 kb	455706	False	63322	50–150	1
ENSG00000158292__GPR153__tss6261098	GPR153	True	4.374602970490943e-06	0.0021653629709117	6260000__6980000	721403	2.303462028503418	>500 kb	151665	False	721403		
ENSG00000097021__ACOT7__tss6393767	ACOT7	True	-2.2727359012715553e-05	-0.0019013295555426	6390000__7310000	918734	1.8105822801589968	>500 kb	55500	False	918734		
ENSG00000069812__HES2__tss6424670	HES2	True	-3.0374148764982054e-06	-0.0039225268131012	6420000__6340000	-82169	1.0420535802841189	clean ≤500 kb	451282	False	82169	50–150	1
ENSG00000187017__ESPN__tss6424776	ESPN	True	-8.569434996671759e-06	-0.0094061486728667	6420000__6340000	-82275	1.0420535802841189	clean ≤500 kb	451229	False	82275	50–150	1
ENSG00000215788__TNFRSF25__tss6466175	TNFRSF25	True	-0.0001194188865553	-0.0016879493667079	6465000__7320000	856326	2.397728204727173	>500 kb	94204	False	856326		
ENSG00000171680__PLEKHG5__tss6520074	PLEKHG5	True	3.4630538991026194e-06	2.7007252237910145e-05	6520000__7200000	682427	3.0586235523223877	>500 kb	161153	False	682427		
ENSG00000162408__NOL9__tss6554513	NOL9	True	6.319754388041388e-05	0.0019058347428333	6550000__7460000	907988	2.3167221546173096	>500 kb	60873	False	907988		
ENSG00000173662__TAS1R1__tss6555307	TAS1R1	True	-1.2934378169910351e-05	-0.0018418575491416	6555000__7550000	997194	3.8797593116760254	>500 kb	23770	False	997194		
ENSG00000204859__ZBTB48__tss6579994	ZBTB48	True	9.620581965925912e-05	0.0006175203744258	6575000__7235000	657507	1.692887544631958	>500 kb	183613	False	657507		
ENSG00000116273__PHF13__tss6613731	PHF13	True	-2.1670810679027055e-05	-0.0013318428477217	6610000__7455000	843770	2.31919264793396	>500 kb	77982	False	843770		
ENSG00000162413__KLHL21__tss6614607	KLHL21	True	-1.1519496550649322e-05	-0.0009063035136826	6610000__7455000	842894	2.31919264793396	>500 kb	78420	False	842894		
ENSG00000041988__THAP3__tss6624868	THAP3	True	4.481911748627221e-05	0.000227263724683	6620000__7205000	582633	2.8310906887054443	>500 kb	213550	False	582633		
ENSG00000007923__DNAJC11__tss6701924	DNAJC11	True	1.1787943236578335e-05	0.0002386850388166	6700000__7645000	945577	5.463336944580078	>500 kb	49578	False	945577		
ENSG00000171735__CAMTA1__tss6785454	CAMTA1	True	-9.168821632104736e-06	-0.000793599097998	6785000__5795000	-987953	2.517660617828369	>500 kb	28390	False	987953		
ENSG00000049245__VAMP3__tss7771296	VAMP3	True	7.76737285317769e-05	0.0006919758987846	7770000__6945000	-823795	2.8356966972351074	>500 kb	97969	False	823795		
ENSG00000049246__PER3__tss7784291	PER3	True	-3.5992145320032365e-07	-2.3725310618134127e-05	7780000__6910000	-871790	3.1507906317710876	>500 kb	86471	False	871790		
ENSG00000049247__UTS2__tss7853512	UTS2	True	-7.770548055621504e-07	-0.0010499095315574	7850000__6935000	-916011	5.646590232849121	>500 kb	54361	False	916011		
ENSG00000049249__TNFRSF9__tss7943165	TNFRSF9	True	-1.3374499799727348e-07	-0.0001846782824995	7940000__8380000	439336	3.3567530810832977	mixed	265199	False	439336	300–500	
ENSG00000116288__PARK7__tss7954291	PARK7	True	-9.369654753978206e-06	-0.0047154323143665	7950000__8375000	423210	2.049009144306183	clean ≤500 kb	278262	False	423210	300–500	2
ENSG00000116285__ERRFI1__tss8026309	ERRFI1	True	-0.0092240723532298	-0.0324445774793349	8025000__8230000	206192	4.43673300743103	clean ≤500 kb	419271	False	206192	150–300	5
ENSG00000162426__SLC45A1__tss8318114	SLC45A1	True	-1.1728648979306486e-05	-0.0123502650708122	8315000__8035000	-280613	6.2871620655059814	clean ≤500 kb	382060	False	280613	150–300	5
ENSG00000142599__RERE__tss8848921	RERE	True	-2.4176926093629294e-06	-0.0024356966486876	8845000__9515000	668580	3.626512259244919	>500 kb	188077	False	668580		
ENSG00000074800__ENO1__tss8879190	ENO1	True	0.0015544610230376	0.0019284631368284	8875000__9455000	578311	2.1784039437770844	>500 kb	218211	False	578311		
ENSG00000131686__CA6__tss8945867	CA6	True	-4.03432210743318e-07	-0.0005681169806396	8945000__9510000	566634	2.120566189289093	>500 kb	221550	False	566634		
ENSG00000197241__SLC2A7__tss9026423	SLC2A7	True	1.2314411021307522e-07	0.0001727560609038	9025000__9455000	431078	1.9581910371780396	clean ≤500 kb	276828	False	431078	300–500	1
ENSG00000142583__SLC2A5__tss9088478	SLC2A5	True	-2.2768575177037363e-06	-0.003106553210595	9085000__8925000	-160977	2.791336640715599	clean ≤500 kb	406878	False	160977	150–300	3
ENSG00000180758__GPR157__tss9129102	GPR157	True	0.00081423656832	0.0487716350257024	9125000__9245000	118399	2.090327024459839	clean ≤500 kb	425667	False	118399	50–150	3
ENSG00000049239__H6PD__tss9234774	H6PD	True	-4.006020375925748e-05	-0.0016141212558879	9230000__9465000	232727	2.324751913547516	clean ≤500 kb	383503	False	232727	150–300	3
ENSG00000171621__SPSB1__tss9292894	SPSB1	True	0.0006742410127132	0.1284985405430859	9290000__9490000	199607	9.38413941860199	clean ≤500 kb	395063	False	199607	150–300	5
ENSG00000171612__SLC25A33__tss9539465	SLC25A33	True	0.000141397619356	0.0038957789184288	9535000__8990000	-546964	2.780358135700226	>500 kb	218884	False	546964		
ENSG00000188807__TMEM201__tss9588911	TMEM201	True	-3.848906746409253e-05	-0.0032565958843195	9585000__9315000	-271410	2.4108485877513885	clean ≤500 kb	386661	False	271410	150–300	3
ENSG00000171608__PIK3CD__tss9629889	PIK3CD	True	6.680088267468838e-07	0.0008551827891173	9625000__10185000	557612	1.89946411550045	>500 kb	213561	False	557612		
ENSG00000171603__CLSTN1__tss9823984	CLSTN1	True	-3.2501484685706385e-05	-0.0045178128264685	9820000__10570000	748517	3.390838384628296	>500 kb	140608	False	748517		
ENSG00000178585__CTNNBIP1__tss9910336	CTNNBIP1	True	-5.5825477877215895e-05	-0.0060341172312792	9910000__9805000	-102835	1.2890601754188538	clean ≤500 kb	438449	False	102835	50–150	2
ENSG00000162441__LZIC__tss9943407	LZIC	True	0.0007728093228399	0.0118129708855467	9940000__9865000	-75906	2.166870892047882	clean ≤500 kb	454413	False	75906	50–150	3
ENSG00000173614__NMNAT1__tss9943428	NMNAT1	True	0.0003968339146802	0.0125467445407932	9940000__9865000	-75927	2.166870892047882	clean ≤500 kb	454403	False	75927	50–150	3
ENSG00000162444__RBP7__tss9997206	RBP7	True	1.0518482389285684e-05	0.006999678636758	9995000__9790000	-204705	1.7660270929336548	clean ≤500 kb	407514	False	204705	150–300	2
ENSG00000130939__UBE4B__tss10032832	UBE4B	True	-8.841256544629694e-05	-0.0007909999937602	10030000__10875000	844669	3.4843454360961914	>500 kb	70032	False	844669		
ENSG00000054523__KIF1B__tss10210570	KIF1B	True	-6.52764596180324e-06	-0.0007516223904894	10210000__9795000	-413069	2.0347414016723633	clean ≤500 kb	300832	False	413069	300–500	2
ENSG00000142657__PGD__tss10398592	PGD	True	0.0020133463986603	0.0060729862931874	10395000__9795000	-601091	1.8505500108003616	>500 kb	221821	False	601091		
ENSG00000251503__CENPS-CORT__tss10430102	CENPS-CORT	True	0.0004237218230241	0.0065521718275463	10430000__10495000	67399	3.66064378619194	clean ≤500 kb	453667	False	67399	50–150	5
ENSG00000175279__CENPS__tss10430433	CENPS	True	0.0011860064551231	0.0188328372680093	10430000__10495000	67068	3.66064378619194	clean ≤500 kb	453833	False	67068	50–150	5
ENSG00000241563__CORT__tss10450031	CORT	True	-2.8452118029251298e-05	-0.0018353136928564	10450000__10875000	427470	2.469133675098419	clean ≤500 kb	288632	False	427470	300–500	2
ENSG00000142655__PEX14__tss10472288	PEX14	True	-7.621700464365e-05	-0.0040646985889296	10470000__10915000	445213	2.784438669681549	clean ≤500 kb	299760	False	445213	300–500	3
ENSG00000160049__DFFA__tss10472529	DFFA	True	0.0001288211679375	0.0021064628948635	10470000__10915000	444972	2.784438669681549	clean ≤500 kb	299881	False	444972	300–500	3
ENSG00000130940__CASZ1__tss10796650	CASZ1	True	1.251802110881884e-06	0.0016086502861748	10795000__10510000	-284149	3.0160170197486877	clean ≤500 kb	370292	False	284149	150–300	4
ENSG00000175262__C1orf127__tss10982076	C1orf127	True	9.378631701124072e-07	0.0009984179887021	10980000__10510000	-469575	4.6582189202308655	clean ≤500 kb	272579	False	469575	300–500	5
ENSG00000120948__TARDBP__tss11012344	TARDBP	True	-0.0009978223560669	-0.003754791801504	11010000__10500000	-509843	3.363975405693054	mixed	267445	False	509843		
ENSG00000009724__MASP2__tss11047239	MASP2	True	0.0014639973670236	0.0105435180330818	11045000__11595000	550262	2.219658240675926	>500 kb	247236	False	550262		
ENSG00000116649__SRM__tss11060020	SRM	True	-5.61229151546383e-05	-0.0002298561089009	11060000__10510000	-547519	2.338975042104721	>500 kb	238607	False	547519		
ENSG00000171824__EXOSC10__tss11099869	EXOSC10	True	-7.664105559079815e-06	-7.734657368699293e-05	11095000__10515000	-582368	3.426658570766449	>500 kb	213682	False	582368		
ENSG00000171819__ANGPTL7__tss11189355	ANGPTL7	True	6.1478222470717206e-06	0.0034735623115916	11185000__11585000	398146	2.163592249155045	clean ≤500 kb	323294	False	398146	300–500	2
ENSG00000198793__MTOR__tss11262556	MTOR	True	2.0338784560511997e-06	0.00019148732812	11260000__10485000	-775055	5.55763578414917	>500 kb	134839	False	775055		
ENSG00000120942__UBIAD1__tss11273198	UBIAD1	True	0.0001314338044481	0.0010313432703188	11270000__11565000	294303	1.5961998477578163	clean ≤500 kb	362715	False	294303	150–300	1
ENSG00000204624__DISP3__tss11479155	DISP3	True	0.0001251228786516	0.1142948640113597	11475000__11365000	-111654	1.2148672044277191	clean ≤500 kb	466539	False	111654	50–150	1
ENSG00000132879__FBXO44__tss11654375	FBXO44	True	-0.0009150066150185	-0.0087832529279441	11650000__11335000	-316874	4.397674769163132	clean ≤500 kb	363929	False	316874	300–500	4
ENSG00000116661__FBXO2__tss11655785	FBXO2	True	0.0002666433398985	0.0032247012664461	11655000__11350000	-303284	3.0193790197372437	clean ≤500 kb	370724	False	303284	300–500	3
ENSG00000116663__FBXO6__tss11664200	FBXO6	True	-0.0002620723717691	-0.004010497068936	11660000__11290000	-371699	1.1967456340789795	clean ≤500 kb	336517	False	371699	300–500	1
ENSG00000162490__DRAXIN__tss11691710	DRAXIN	True	-1.1271203822390093e-07	-0.0001586424542338	11690000__11335000	-354209	3.0501418709754944	clean ≤500 kb	345262	False	354209	300–500	3
ENSG00000116670__MAD2L2__tss11691811	MAD2L2	True	5.8975820911459696e-08	8.030040299780874e-05	11690000__11335000	-354310	3.0501418709754944	clean ≤500 kb	345211	False	354310	300–500	3
ENSG00000177674__AGTRAP__tss11736084	AGTRAP	True	-3.832369826283974e-05	-0.0030514529366498	11735000__11290000	-443583	1.8067327439785004	clean ≤500 kb	300575	False	443583	300–500	1
ENSG00000215910__C1orf167__tss11761787	C1orf167	True	5.1476884262651643e-08	7.392590511290454e-05	11760000__11305000	-454286	2.5282959938049316	clean ≤500 kb	287723	False	454286	300–500	2
ENSG00000011021__CLCN6__tss11806096	CLCN6	True	-1.6880099459395947e-06	-4.844372131623549e-05	11805000__11300000	-503595	1.3512127846479416	mixed	270569	False	503595		
ENSG00000177000__MTHFR__tss11806455	MTHFR	True	-0.0002015176815428	-0.0054847979019787	11805000__11300000	-503954	1.3512127846479416	mixed	270389	False	503954		
ENSG00000175206__NPPA__tss11848345	NPPA	True	-2.4609212466975526e-06	-0.0007851847034795	11845000__11290000	-555844	1.9306155741214752	mixed	244444	False	555844		
ENSG00000120937__NPPB__tss11858945	NPPB	True	-1.9438716564408164e-05	-0.0041105271262422	11855000__11295000	-561444	1.7533419877290726	>500 kb	241644	False	561444		
ENSG00000116685__KIAA2013__tss11926428	KIAA2013	True	-0.0003936477289464	-0.0016109995921256	11925000__11295000	-628927	2.912734031677246	>500 kb	207903	False	628927		
ENSG00000083444__PLOD1__tss11934205	PLOD1	True	-6.906925713017625e-05	-0.0012202539524337	11930000__12865000	933296	5.98336124420166	>500 kb	35719	False	933296		
ENSG00000116688__MFN2__tss11980181	MFN2	False	-6.26547261296656e-05	-0.0006883473631103	11980000__12875000	897320	4.003138542175293	>500 kb	58707	False	897320		
ENSG00000116691__MIIP__tss12019466	MIIP	False	9.979902338578228e-06	0.001044536083092	12015000__12865000	848035	4.271334648132324	>500 kb	78349	False	848035		
ENSG00000120949__TNFRSF8__tss12063303	TNFRSF8	True	-2.637898075377176e-07	-0.0003565209125979	12060000__12680000	619198	3.5585588216781616	>500 kb	200268	False	619198		
ENSG00000028137__TNFRSF1B__tss12166991	TNFRSF1B	True	-2.02914933925978e-06	-0.0018175575070963	12165000__12675000	510510	3.9101224690675735	mixed	267112	False	510510		
ENSG00000048707__VPS13D__tss12230030	VPS13D	False	2.831005845751848e-07	8.131916088298819e-05	12230000__12665000	437471	3.6800774335861206	mixed	271131	False	437471	300–500	
ENSG00000162496__DHRS3__tss12620133	DHRS3	False	0.000145889476648	0.0013914812513277	12620000__13010000	392368	15.919822692871094	clean ≤500 kb	311183	False	392368	300–500	
ENSG00000204518__AADACL4__tss12644085	AADACL4	False	-6.327686295512115e-09	-9.010163864936536e-06	12640000__13565000	923416	6.271723747253418	>500 kb	25659	False	923416		
ENSG00000188984__AADACL3__tss12716110	AADACL3	True	-1.1432828646007971e-08	-1.6347659074629776e-05	12715000__12115000	-598609	3.108899772167206	>500 kb	188062	False	598609		
ENSG00000157330__CFAP107__tss12746200	CFAP107	True	2.8021457959419608e-08	3.993033872144367e-05	12745000__12115000	-628699	3.3131462931632996	>500 kb	173017	False	628699		
ENSG00000116726__PRAMEF12__tss12773738	PRAMEF12	True	1.6699211988053326e-08	2.3974964757598528e-05	12770000__12115000	-656237	4.341260999441147	>500 kb	161748	False	656237		
ENSG00000116721__PRAMEF1__tss12791397	PRAMEF1	True	1.7486448415784555e-09	2.5171739513559e-06	12790000__12100000	-688896	6.685319423675537	>500 kb	150418	False	688896		
ENSG00000239810__PRAMEF11__tss12831410	PRAMEF11	False	6.609379756075904e-09	9.508876524988162e-06	12830000__13565000	736091	7.946867942810059	>500 kb	119321	False	736091		
ENSG00000179172__HNRNPCL1__tss12848720	HNRNPCL1	False	7.858970007364652e-06	0.0063965593069881	12845000__13440000	593781	6.510473728179932	>500 kb	200476	False	593781		
ENSG00000120952__PRAMEF2__tss12857086	PRAMEF2	False	7.308518018542188e-07	0.0010459937088418	12855000__13010000	155415	22.35847282409668	clean ≤500 kb	409659	False	155415	150–300	
ENSG00000243073__PRAMEF4__tss12886201	PRAMEF4	False	4.6355004118132656e-08	6.650887073609261e-05	12885000__12105000	-778700	7.583526134490967	>500 kb	105516	False	778700		
ENSG00000187545__PRAMEF10__tss12898270	PRAMEF10	False	-2.085136816539956e-07	-0.0002996213996667	12895000__13040000	144231	25.361799240112305	clean ≤500 kb	430251	False	144231	50–150	
ENSG00000204510__PRAMEF7__tss12916610	PRAMEF7	False	-1.4882129136360262e-06	-0.0020976240736907	12915000__13040000	125891	18.727840423583984	clean ≤500 kb	439421	False	125891	50–150	
ENSG00000232423__PRAMEF6__tss12947580	PRAMEF6	False	-2.9848702298466e-09	-4.2930236876017876e-06	12945000__13940000	994921	43.60179901123047	>500 kb	24906	False	994921		
ENSG00000274764__PRAMEF27__tss13056575	PRAMEF27	False	-1.7897349984101606e-08	-2.5765715932098217e-05	13055000__13930000	875926	8.717355728149414	>500 kb	76904	False	875926		
ENSG00000277058__HNRNPCL3__tss13060769	HNRNPCL3	False	2.1371230517815498e-07	0.0002962095581225	13060000__12105000	-953268	41.05323028564453	>500 kb	45732	False	953268		
ENSG00000229571__PRAMEF25__tss13068677	PRAMEF25	False	9.845653931359213e-09	1.418487828087242e-05	13065000__13915000	848824	22.915115356445312	>500 kb	87955	False	848824		
ENSG00000275774__HNRNPCL2__tss13116854	HNRNPCL2	True	1.131689841227029e-06	0.0007328615623712	13115000__14055000	940647	7.97373628616333	>500 kb	32043	False	940647		
ENSG00000280267__PRAMEF26__tss13158116	PRAMEF26	False	-8.470354762974558e-08	-0.0001219058742462	13155000__13040000	-115615	21.821916580200195	clean ≤500 kb	449559	False	115615	50–150	
ENSG00000179412__HNRNPCL4__tss13165631	HNRNPCL4	True	-1.1548091986677385e-07	-0.0001637174046634	13165000__14150000	986870	32.91953659057617	>500 kb	28932	False	986870		
ENSG00000204505__PRAMEF9__tss13171848	PRAMEF9	True	5.851045907621209e-09	8.423839116323786e-06	13170000__14020000	850653	11.04004192352295	>500 kb	84540	False	850653		
