source	ontology_curie	biosample_name	n_tracks	gene	strand	gene_start_hg38	gene_end_hg38	tss_hg38	tss_bin	tss_bin_start_0based	tss_bin_end_0based	variant_to_tss_bp	separation_bins	log_observed_expected_pm1bin	implied_observed_expected	same_distance_null_n	same_distance_null_mean	same_distance_null_sd	same_distance_z	same_distance_percentile	same_distance_high_empirical_p
H1-hESC mean	EFO:0003042	H1-hESC	6	PSRC1	-	109279555	109283186	109283186	260	109283160	109285208	8218	5	-0.243607415093316	0.7837952800672461	506	-0.041303191613774	0.1694841289768532	-1.1936470081347323	13.932806324110672	0.8619329388560157
H1-hESC mean	EFO:0003042	H1-hESC	6	SORT1	-	109309567	109397918	109397918	316	109397848	109399896	122950	61	1.4114583333333333	4.101933029994947	450	-0.1158727219075332	0.3897467052782418	3.91877861841192	99.33333333333331	0.0110864745011086
H9 mean	EFO:0003045	H9	6	CELSR2	+	109249538	109275751	109249538	243	109248344	109250392	-25430	-12	0.09375	1.0982851403078258	499	0.0236513082546052	0.1784354447341339	0.3928518341736458	58.11623246492986	0.42
H9 mean	EFO:0003045	H9	6	PSRC1	-	109279555	109283186	109283186	260	109283160	109285208	8218	5	-0.1478712293836805	0.8625421778789175	506	0.0065737079385607	0.1264424437059566	-1.2214643500674882	13.3399209486166	0.8678500986193294
H9 mean	EFO:0003045	H9	6	SORT1	-	109309567	109397918	109397918	316	109397848	109399896	122950	61	1.411892361111111	4.103713769289753	450	0.0549833559106897	0.3409718911062347	3.9795333298534463	99.44444444444444	0.0088691796008869
KBM-7 mean	EFO:0005903	KBM-7	1	CELSR2	+	109249538	109275751	109249538	243	109248344	109250392	-25430	-12	0.0235392252604166	1.0238184595046986	499	-0.0682637090275267	0.1443736545387892	0.6358704057275106	69.53907815631263	0.306
KBM-7 mean	EFO:0005903	KBM-7	1	PSRC1	-	109279555	109283186	109283186	260	109283160	109285208	8218	5	-0.36328125	0.6953908273230813	506	-0.3462329005064229	0.1013716872827836	-0.1681766373881051	40.019762845849804	0.6015779092702169
KBM-7 mean	EFO:0005903	KBM-7	1	SORT1	-	109309567	109397918	109397918	316	109397848	109399896	122950	61	1.05078125	2.8598845303122133	450	0.0039015268396448	0.2803335130845957	3.734408032921986	99.88888888888889	0.0044345898004434
CyT49 mean	EFO:0007073	CyT49	4	CELSR2	+	109249538	109275751	109249538	243	109248344	109250392	-25430	-12	0.0875651041666666	1.091513324195161	499	0.0101365370199372	0.1634802514950465	0.4736264254467182	59.91983967935872	0.402
CyT49 mean	EFO:0007073	CyT49	4	PSRC1	-	109279555	109283186	109283186	260	109283160	109285208	8218	5	-0.1431884765625	0.8665907214621156	506	-0.0032837497652048	0.1138751262703145	-1.228580212198335	13.537549407114623	0.8658777120315582
CyT49 mean	EFO:0007073	CyT49	4	SORT1	-	109309567	109397918	109397918	316	109397848	109399896	122950	61	1.1419270833333333	3.132799717983098	450	-0.0010694476410194	0.2906378799132573	3.932716999296469	99.22222222222224	0.0110864745011086
HFFc6 mean	EFO:0009318	HFFc6	2	CELSR2	+	109249538	109275751	109249538	243	109248344	109250392	-25430	-12	0.1802571614583333	1.1975252808754449	499	0.0079403560640975	0.2875710730991395	0.5992146690457628	68.6372745490982	0.316
HFFc6 mean	EFO:0009318	HFFc6	2	PSRC1	-	109279555	109283186	109283186	260	109283160	109285208	8218	5	-0.22021484375	0.8023464003344183	506	0.0636744099486329	0.2164644412572061	-1.3114821633051117	13.3399209486166	0.8678500986193294
HFFc6 mean	EFO:0009318	HFFc6	2	SORT1	-	109309567	109397918	109397918	316	109397848	109399896	122950	61	2.1028645833333335	8.189596123944392	450	-0.0350057503029152	0.5069780882426188	4.216889019892221	99.88888888888889	0.0044345898004434
GM25256 mean	EFO:0009747	GM25256	2	CELSR2	+	109249538	109275751	109249538	243	109248344	109250392	-25430	-12	0.2586263020833333	1.2951497196308697	499	-0.0529155578307493	0.2087951946425466	1.4920930553379657	96.59318637274548	0.036
GM25256 mean	EFO:0009747	GM25256	2	PSRC1	-	109279555	109283186	109283186	260	109283160	109285208	8218	5	-0.1121241251627604	0.89393329099839	506	-0.0955837923390435	0.160612466210377	-0.1029828705951858	40.21739130434783	0.5996055226824457
GM25256 mean	EFO:0009747	GM25256	2	SORT1	-	109309567	109397918	109397918	316	109397848	109399896	122950	61	1.1822916666666667	3.261840695860151	450	-0.1140558896241364	0.34778396291182	3.727450643316436	99.44444444444444	0.0088691796008869
