gene_symbol,gene_id,chrom,strand,start,end,tss,gene_type,recipient_class,transcript_id,transcript_type,tss_source,tss_rank
ACP7,ENSG00000183760.11,chr19,+,39083912,39111493,39099062,protein_coding,hpa_liver_bottom100,ENST00000601531.1,protein_coding,protein_coding_transcript_tss,3
ACRV1,ENSG00000134940.14,chr11,-,125671521,125680874,125680874,protein_coding,hpa_liver_bottom100,ENST00000527795.1,protein_coding,protein_coding_transcript_tss,3
ACSBG2,ENSG00000130377.14,chr19,+,6135246,6193094,6135246,protein_coding,hpa_liver_bottom100,ENST00000591738.5,protein_coding,protein_coding_transcript_tss,1
ACSM4,ENSG00000215009.6,chr12,+,7304071,7328719,7304071,protein_coding,hpa_liver_bottom100,ENST00000399422.5,protein_coding,protein_coding_transcript_tss,1
ACSM6,ENSG00000173124.15,chr10,+,95194199,95228929,95194237,protein_coding,hpa_liver_bottom100,ENST00000394005.4,protein_coding,protein_coding_transcript_tss,1
ACTBL2,ENSG00000169067.4,chr5,-,57480017,57482811,57482811,protein_coding,hpa_liver_bottom100,ENST00000423391.3,protein_coding,protein_coding_transcript_tss,1
ACTL6B,ENSG00000077080.10,chr7,-,100643096,100656448,100656448,protein_coding,hpa_liver_bottom100,ENST00000160382.10,protein_coding,protein_coding_transcript_tss,1
ACTL7A,ENSG00000187003.7,chr9,+,108862265,108863756,108862265,protein_coding,hpa_liver_bottom100,ENST00000333999.5,protein_coding,protein_coding_transcript_tss,1
ACTL7B,ENSG00000148156.8,chr9,-,108854587,108855986,108855986,protein_coding,hpa_liver_bottom100,ENST00000374667.5,protein_coding,protein_coding_transcript_tss,1
ACTL8,ENSG00000117148.8,chr1,+,17755332,17827063,17822981,protein_coding,hpa_liver_bottom100,ENST00000617065.1,protein_coding,protein_coding_transcript_tss,2
ACTL9,ENSG00000181786.6,chr19,-,8697399,8698795,8698795,protein_coding,hpa_liver_bottom100,ENST00000324436.5,protein_coding,protein_coding_transcript_tss,1
ACTN3,ENSG00000248746.6,chr11,+,66546394,66563334,66546902,protein_coding,hpa_liver_bottom100,ENST00000513398.2,protein_coding,protein_coding_transcript_tss,2
ACTRT1,ENSG00000123165.9,chrX,-,128050961,128052403,128052403,protein_coding,hpa_liver_bottom100,ENST00000371124.5,protein_coding,protein_coding_transcript_tss,1
ACTRT2,ENSG00000169717.7,chr1,+,3021466,3022903,3021466,protein_coding,hpa_liver_bottom100,ENST00000378404.4,protein_coding,protein_coding_transcript_tss,1
ADAD1,ENSG00000164113.11,chr4,+,122378965,122429802,122379515,protein_coding,hpa_liver_bottom100,ENST00000388725.2,protein_coding,protein_coding_transcript_tss,5
ADAD2,ENSG00000140955.11,chr16,+,84191137,84197168,84191137,protein_coding,hpa_liver_bottom100,ENST00000268624.7,protein_coding,protein_coding_transcript_tss,1
ADAM18,ENSG00000168619.16,chr8,+,39584488,39730065,39584567,protein_coding,hpa_liver_bottom100,ENST00000265707.10,protein_coding,protein_coding_transcript_tss,1
ADAM2,ENSG00000104755.16,chr8,-,39743734,39838227,39838227,protein_coding,hpa_liver_bottom100,ENST00000265708.9,protein_coding,protein_coding_transcript_tss,3
ADAM21,ENSG00000139985.8,chr14,+,70417106,70460427,70417106,protein_coding,hpa_liver_bottom100,ENST00000679631.1,protein_coding,protein_coding_transcript_tss,1
ADAM29,ENSG00000168594.15,chr4,+,174829667,174978180,174918371,protein_coding,hpa_liver_bottom100,ENST00000502305.5,protein_coding,protein_coding_transcript_tss,3
ADAM30,ENSG00000134249.7,chr1,-,119893532,119896515,119896515,protein_coding,hpa_liver_bottom100,ENST00000369400.2,protein_coding,protein_coding_transcript_tss,1
ADAM32,ENSG00000197140.15,chr8,+,39106989,39284917,39106989,protein_coding,hpa_liver_bottom100,ENST00000523400.5,protein_coding,protein_coding_transcript_tss,1
ADAM7,ENSG00000069206.15,chr8,+,24440929,24526970,24475903,protein_coding,hpa_liver_bottom100,ENST00000520720.1,protein_coding,protein_coding_transcript_tss,4
ADAMTS18,ENSG00000140873.16,chr16,-,77247812,77435034,77431587,protein_coding,hpa_liver_bottom100,ENST00000562345.1,protein_coding,protein_coding_transcript_tss,3
ADAMTS19,ENSG00000145808.10,chr5,+,129460280,129738683,129460297,protein_coding,hpa_liver_bottom100,ENST00000274487.9,protein_coding,protein_coding_transcript_tss,1
ADAMTS20,ENSG00000173157.18,chr12,-,43353865,43552203,43551921,protein_coding,hpa_liver_bottom100,ENST00000553158.5,protein_coding,protein_coding_transcript_tss,3
ADAMTS6,ENSG00000049192.15,chr5,-,65148737,65481920,65481920,protein_coding,hpa_liver_bottom100,ENST00000381055.8,protein_coding,protein_coding_transcript_tss,1
ADAMTS8,ENSG00000134917.10,chr11,-,130404922,130428609,130428609,protein_coding,hpa_liver_bottom100,ENST00000257359.7,protein_coding,protein_coding_transcript_tss,1
ADARB2,ENSG00000185736.16,chr10,-,1177312,1737525,1200360,protein_coding,hpa_liver_bottom100,ENST00000381310.7,protein_coding,protein_coding_transcript_tss,2
ADCY2,ENSG00000078295.17,chr5,+,7396137,7830081,7396137,protein_coding,hpa_liver_bottom100,ENST00000338316.9,protein_coding,protein_coding_transcript_tss,1
ADCY8,ENSG00000155897.10,chr8,-,130780300,131040909,131040909,protein_coding,hpa_liver_bottom100,ENST00000286355.10,protein_coding,protein_coding_transcript_tss,1
ADGB,ENSG00000118492.19,chr6,+,146598966,146815462,146770438,protein_coding,hpa_liver_bottom100,ENST00000326916.13,protein_coding,protein_coding_transcript_tss,6
ADGRB2,ENSG00000121753.13,chr1,-,31727116,31764893,31756801,protein_coding,hpa_liver_bottom100,ENST00000398538.5,protein_coding,protein_coding_transcript_tss,6
ADGRD2,ENSG00000180264.12,chr9,+,124450450,124478589,124450450,protein_coding,hpa_liver_bottom100,ENST00000706946.1,protein_coding,protein_coding_transcript_tss,1
ADGRF1,ENSG00000153292.16,chr6,-,46997707,47042350,47018499,protein_coding,hpa_liver_bottom100,ENST00000283297.5,protein_coding,protein_coding_transcript_tss,2
ADGRF4,ENSG00000153294.12,chr6,+,47685863,47722021,47698579,protein_coding,hpa_liver_bottom100,ENST00000283303.3,protein_coding,protein_coding_transcript_tss,3
ADGRG4,ENSG00000156920.11,chrX,+,136300962,136416890,136300962,protein_coding,hpa_liver_bottom100,ENST00000394143.6,protein_coding,protein_coding_transcript_tss,1
ADIG,ENSG00000182035.13,chr20,+,38581194,38588463,38581194,protein_coding,hpa_liver_bottom100,ENST00000373348.4,protein_coding,protein_coding_transcript_tss,1
ADRB3,ENSG00000188778.6,chr8,-,37962989,37966599,37966599,protein_coding,hpa_liver_bottom100,ENST00000345060.5,protein_coding,protein_coding_transcript_tss,1
AGBL1,ENSG00000273540.5,chr15,+,86079870,87049169,86079870,protein_coding,hpa_liver_bottom100,ENST00000614907.3,protein_coding,protein_coding_transcript_tss,1
AGTR2,ENSG00000180772.8,chrX,+,116170743,116174974,116170743,protein_coding,hpa_liver_bottom100,ENST00000371906.5,protein_coding,protein_coding_transcript_tss,1
AICDA,ENSG00000111732.12,chr12,-,8602154,8613242,8611001,protein_coding,hpa_liver_bottom100,ENST00000696272.1,protein_coding,protein_coding_transcript_tss,4
AIPL1,ENSG00000129221.16,chr17,-,6393692,6435199,6435133,protein_coding,hpa_liver_bottom100,ENST00000574506.5,protein_coding,protein_coding_transcript_tss,4
AIRE,ENSG00000160224.17,chr21,+,44285837,44298648,44285875,protein_coding,hpa_liver_bottom100,ENST00000291582.6,protein_coding,protein_coding_transcript_tss,1
AKAP4,ENSG00000147081.15,chrX,-,50190776,50201007,50200372,protein_coding,hpa_liver_bottom100,ENST00000376064.7,protein_coding,protein_coding_transcript_tss,1
AKNAD1,ENSG00000162641.20,chr1,-,108815897,108963484,108963484,protein_coding,hpa_liver_bottom100,ENST00000357393.6,protein_coding,protein_coding_transcript_tss,4
ALG1L2,ENSG00000251287.9,chr3,+,130081830,130113227,130081830,protein_coding,hpa_liver_bottom100,ENST00000425059.1,protein_coding,protein_coding_transcript_tss,1
ALK,ENSG00000171094.18,chr2,-,29192773,29921586,29223900,protein_coding,hpa_liver_bottom100,ENST00000642122.1,protein_coding,protein_coding_transcript_tss,1
ALOX12B,ENSG00000179477.11,chr17,-,8072635,8087716,8079903,protein_coding,hpa_liver_bottom100,ENST00000649809.1,protein_coding,protein_coding_transcript_tss,2
ALOXE3,ENSG00000179148.11,chr17,-,8095899,8119047,8118489,protein_coding,hpa_liver_bottom100,ENST00000380149.6,protein_coding,protein_coding_transcript_tss,1
ALPG,ENSG00000163286.9,chr2,+,232406843,232410714,232406843,protein_coding,hpa_liver_bottom100,ENST00000295453.8,protein_coding,protein_coding_transcript_tss,1
ALPI,ENSG00000163295.5,chr2,+,232456124,232460753,232456152,protein_coding,hpa_liver_bottom100,ENST00000295463.4,protein_coding,protein_coding_transcript_tss,1
ALPP,ENSG00000163283.7,chr2,+,232378723,232382889,232378750,protein_coding,hpa_liver_bottom100,ENST00000392027.3,protein_coding,protein_coding_transcript_tss,1
ALX1,ENSG00000180318.4,chr12,+,85280219,85301784,85280219,protein_coding,hpa_liver_bottom100,ENST00000316824.4,protein_coding,protein_coding_transcript_tss,1
ALX4,ENSG00000052850.8,chr11,-,44260439,44310139,44310139,protein_coding,hpa_liver_bottom100,ENST00000652299.1,protein_coding,protein_coding_transcript_tss,1
AMBN,ENSG00000178522.15,chr4,+,70592255,70607288,70592255,protein_coding,hpa_liver_bottom100,ENST00000322937.10,protein_coding,protein_coding_transcript_tss,1
AMELX,ENSG00000125363.14,chrX,+,11293412,11300761,11293412,protein_coding,hpa_liver_bottom100,ENST00000348912.4,protein_coding,protein_coding_transcript_tss,1
AMELY,ENSG00000099721.16,chrY,-,6865917,6911752,6911752,protein_coding,hpa_liver_bottom100,ENST00000651267.2,protein_coding,protein_coding_transcript_tss,1
AMER2,ENSG00000165566.13,chr13,-,25161678,25172288,25172288,protein_coding,hpa_liver_bottom100,ENST00000515384.2,protein_coding,protein_coding_transcript_tss,1
AMER3,ENSG00000178171.12,chr2,+,130755539,130768134,130755539,protein_coding,hpa_liver_bottom100,ENST00000321420.5,protein_coding,protein_coding_transcript_tss,1
AMTN,ENSG00000187689.10,chr4,+,70518568,70532743,70518568,protein_coding,hpa_liver_bottom100,ENST00000339336.9,protein_coding,protein_coding_transcript_tss,1
AMY1A,ENSG00000237763.10,chr1,+,103655759,103664554,103656017,protein_coding,hpa_liver_bottom100,ENST00000422549.1,protein_coding,protein_coding_transcript_tss,2
AMY1B,ENSG00000174876.17,chr1,-,103687414,103696454,103695952,protein_coding,hpa_liver_bottom100,ENST00000425410.1,protein_coding,protein_coding_transcript_tss,3
AMY1C,ENSG00000187733.7,chr1,+,103745322,103758726,103750405,protein_coding,hpa_liver_bottom100,ENST00000370079.3,protein_coding,protein_coding_transcript_tss,4
AMY2A,ENSG00000243480.8,chr1,+,103617426,103625780,103617426,protein_coding,hpa_liver_bottom100,ENST00000423678.2,protein_coding,protein_coding_transcript_tss,1
ANGPTL5,ENSG00000187151.7,chr11,-,101890673,101916522,101916522,protein_coding,hpa_liver_bottom100,ENST00000334289.7,protein_coding,protein_coding_transcript_tss,1
ANKFN1,ENSG00000153930.13,chr17,+,55882300,56517016,56153509,protein_coding,hpa_liver_bottom100,ENST00000566473.6,protein_coding,protein_coding_transcript_tss,4
ANKRD30A,ENSG00000148513.20,chr10,+,37125597,37232567,37218979,protein_coding,hpa_liver_bottom100,ENST00000696674.1,protein_coding,protein_coding_transcript_tss,2
ANKRD30B,ENSG00000180777.15,chr18,+,14728271,14854667,14748171,protein_coding,hpa_liver_bottom100,ENST00000690538.1,protein_coding,protein_coding_transcript_tss,1
ANKRD30BL,ENSG00000163046.16,chr2,-,132147590,132257969,132161952,protein_coding,hpa_liver_bottom100,ENST00000409867.6,protein_coding,protein_coding_transcript_tss,1
ANKRD31,ENSG00000145700.10,chr5,-,75068274,75236911,75236878,protein_coding,hpa_liver_bottom100,ENST00000274361.3,protein_coding,protein_coding_transcript_tss,1
ANKRD34B,ENSG00000189127.8,chr5,-,80556754,80570280,80570250,protein_coding,hpa_liver_bottom100,ENST00000508916.1,protein_coding,protein_coding_transcript_tss,2
ANKRD34C,ENSG00000235711.5,chr15,+,79282721,79298239,79282721,protein_coding,hpa_liver_bottom100,ENST00000421388.4,protein_coding,protein_coding_transcript_tss,1
ANKRD45,ENSG00000183831.7,chr1,-,173608335,173669851,173669851,protein_coding,hpa_liver_bottom100,ENST00000333279.3,protein_coding,protein_coding_transcript_tss,1
ANKRD60,ENSG00000124227.6,chr20,-,58216125,58228653,58228653,protein_coding,hpa_liver_bottom100,ENST00000457363.2,protein_coding,protein_coding_transcript_tss,1
ANKRD62,ENSG00000181626.12,chr18,+,12093842,12129764,12093842,protein_coding,hpa_liver_bottom100,ENST00000587848.3,protein_coding,protein_coding_transcript_tss,1
ANKRD63,ENSG00000230778.2,chr15,-,40278371,40283064,40283064,protein_coding,hpa_liver_bottom100,ENST00000434396.2,protein_coding,protein_coding_transcript_tss,1
ANKRD66,ENSG00000230062.7,chr6,+,46746932,46759506,46753745,protein_coding,hpa_liver_bottom100,ENST00000445060.1,protein_coding,protein_coding_transcript_tss,2
ANKUB1,ENSG00000206199.11,chr3,-,149761099,149968385,149792554,protein_coding,hpa_liver_bottom100,ENST00000446160.7,protein_coding,protein_coding_transcript_tss,1
ANO2,ENSG00000047617.18,chr12,-,5531868,5946232,5945228,protein_coding,hpa_liver_bottom100,ENST00000650848.1,protein_coding,protein_coding_transcript_tss,1
ANO4,ENSG00000151572.18,chr12,+,100717525,101128641,100794777,protein_coding,hpa_liver_bottom100,ENST00000546991.1,protein_coding,protein_coding_transcript_tss,3
ANP32D,ENSG00000139223.4,chr12,+,48472558,48473622,48472558,protein_coding,hpa_liver_bottom100,ENST00000266594.4,protein_coding,protein_coding_transcript_tss,1
ANTXRL,ENSG00000274209.6,chr10,+,46286344,46330207,46286344,protein_coding,hpa_liver_bottom100,ENST00000619553.4,protein_coding,protein_coding_transcript_tss,1
APC2,ENSG00000115266.12,chr19,+,1446301,1473244,1452799,protein_coding,hpa_liver_bottom100,ENST00000238483.5,protein_coding,protein_coding_transcript_tss,6
ALB,ENSG00000163631.19,chr4,+,73397113,73421482,73409339,protein_coding,active_liver_control,ENST00000511370.1,protein_coding,protein_coding_transcript_tss,6
APOB,ENSG00000084674.15,chr2,-,21001428,21044073,21044073,protein_coding,active_liver_control,ENST00000233242.5,protein_coding,protein_coding_transcript_tss,1
TTR,ENSG00000118271.12,chr18,+,31557008,31598833,31591876,protein_coding,active_liver_control,ENST00000237014.8,protein_coding,protein_coding_transcript_tss,5
